Rank,University Name,Mean,Faculty,Publications,ml,nlp,vision,ai,theory,db,security,robotics,network,eda,se,publication_per_faculty
1,Carnegie Mellon University ,106.7,104,2028,24,14,11,6,6,2,8,9,0,2,3,0.0
2,Tsinghua University ,81.6,96,1657,10,10,21,29,0,2,5,3,0,5,2,0.0
3,Peking University ,78.0,119,1903,11,16,33,35,1,6,1,3,0,3,10,0.0
4,Cornell University ,62.3,54,955,16,7,5,6,2,1,1,2,0,2,0,0.0
5,Univ. of Illinois at Urbana-Champaign ,58.2,64,1097,17,4,9,4,2,3,6,2,0,3,2,0.0
6,Chinese Academy of Sciences ,55.0,53,1593,1,9,25,20,0,0,1,1,0,1,2,0.0
7,Stanford University ,51.1,59,1292,13,4,6,2,7,2,4,5,0,2,0,0.0
8,National University of Singapore ,48.2,50,802,7,4,6,11,1,8,2,5,0,2,3,0.0
9,Massachusetts Institute of Technology ,47.4,70,1197,26,3,6,3,9,2,1,8,0,0,1,0.0
10,Technion ,46.5,56,818,21,3,9,11,7,3,1,0,0,0,0,0.0
11,HKUST ,45.4,39,867,4,5,12,10,0,7,1,2,0,1,1,0.0
12,University of Michigan ,43.9,57,563,11,5,7,8,2,2,5,2,0,2,0,0.0
13,Nanyang Technological University ,42.9,52,1024,4,5,14,17,0,5,0,0,0,0,1,0.0
13,University of Washington ,42.9,51,1113,10,7,5,1,4,1,3,4,0,0,0,0.0
15,Zhejiang University ,42.7,77,1393,2,3,19,30,0,5,7,0,0,2,0,0.0
16,University of Massachusetts Amherst ,41.5,42,663,15,5,5,4,3,2,2,3,0,0,1,0.0
17,Univ. of California - Berkeley ,41.2,64,1566,25,3,9,4,4,4,2,6,0,1,1,0.0
18,Columbia University ,39.6,42,794,6,4,6,1,7,1,2,2,0,1,2,0.0
19,Shanghai Jiao Tong University ,39.5,88,1004,7,8,23,32,2,1,2,0,0,4,3,0.0
20,University of Maryland - College Park ,39.1,50,789,8,6,7,4,3,3,2,6,0,0,0,0.0
21,Univ. of California - San Diego ,38.9,62,1001,19,8,9,4,4,1,3,4,0,5,0,0.0
22,University of Toronto ,38.3,65,791,17,5,8,7,3,1,1,5,0,1,1,0.0
23,KAIST ,36.5,61,897,18,5,14,9,0,3,3,5,0,0,1,0.0
24,Nanjing University ,36.1,64,934,5,5,12,32,0,0,2,0,0,0,10,0.0
25,University of Pennsylvania ,35.3,48,782,15,8,6,0,5,3,1,6,0,1,0,0.0
26,Univ. of California - Los Angeles ,34.9,30,757,9,3,3,7,2,1,0,0,0,1,0,0.0
27,Harbin Institute of Technology ,33.1,79,1100,2,24,23,31,0,1,0,0,0,0,1,0.0
28,ETH Zurich ,32.4,35,914,10,2,4,0,3,2,4,1,0,1,1,0.0
29,Chinese University of Hong Kong ,32.0,35,1057,4,3,8,10,2,6,1,1,0,4,0,0.0
30,Rutgers University ,31.6,34,528,4,2,7,9,2,1,0,4,0,0,1,0.0
31,University of Edinburgh ,31.4,56,727,10,14,3,4,1,3,0,6,0,0,0,0.0
32,University of Amsterdam ,31.2,24,364,3,6,4,2,0,1,0,0,0,0,0,0.0
33,University of Waterloo ,30.8,41,420,7,6,3,8,4,3,4,0,0,1,0,0.0
34,Fudan University ,29.5,54,748,3,8,12,24,0,2,4,0,0,0,2,0.0
35,Georgia Institute of Technology ,29.4,50,544,8,3,6,5,3,2,8,8,0,0,0,0.0
36,MBZUAI ,28.9,21,729,7,3,8,2,0,0,0,0,0,0,0,0.0
37,University of Texas at Austin ,28.5,36,710,11,4,4,5,3,0,0,3,0,1,0,0.0
38,Renmin University of China ,27.5,42,474,6,5,7,16,0,5,2,0,0,0,3,0.0
39,EPFL ,26.9,41,666,17,1,8,1,3,3,0,2,0,0,0,0.0
40,New York University ,26.8,48,550,12,7,4,4,2,4,5,2,0,2,0,0.0
41,University of Alberta ,26.1,39,723,8,6,2,16,1,1,0,3,0,0,0,0.0
42,Hebrew University of Jerusalem ,26.0,29,421,8,6,6,2,3,1,1,0,0,0,0,0.0
43,University of Tokyo ,25.9,30,556,6,6,9,4,1,2,0,3,0,0,0,0.0
44,Max Planck Society ,25.1,17,704,4,1,4,1,1,0,1,0,0,0,0,0.0
45,Northeastern University ,24.8,53,411,6,4,4,4,4,2,6,5,0,3,0,0.0
46,University of Southern California ,24.7,33,517,7,3,5,4,1,2,0,5,0,0,3,0.0
47,Singapore Management University ,23.7,33,490,1,6,5,15,0,5,0,0,0,0,4,0.0
48,Johns Hopkins University ,22.2,18,735,6,5,5,1,1,0,1,2,0,0,0,0.0
49,University of Oxford ,22.1,38,565,4,1,2,13,4,2,1,2,0,0,0,0.0
50,CUHK (SZ) ,21.6,25,459,8,3,10,5,0,1,0,1,0,0,0,0.0
51,Tel Aviv University ,20.8,28,510,12,2,4,1,2,2,1,0,0,0,0,0.0
51,University of Sydney ,20.8,26,566,4,3,5,5,2,2,0,1,0,0,0,0.0
53,Pennsylvania State University ,20.5,37,354,2,5,5,10,0,2,2,0,0,1,1,0.0
54,Seoul National University ,20.0,32,481,7,4,8,7,0,3,2,2,0,2,0,0.0
