University Name,Name,Subject,Publications,Avg Co-Author
Carnegie Mellon University ,Graham Neubig,nlp,134,34.9
Carnegie Mellon University ,Tuomas Sandholm,"ai,ml",117,47.1
Carnegie Mellon University ,Tuomas Sandholm,"ai,ml",117,47.1
Carnegie Mellon University ,Abhinav Gupta 0001,vision,112,33.3
Carnegie Mellon University ,Martial Hebert,vision,106,34.9
Carnegie Mellon University ,Deva Ramanan,vision,100,34.1
Carnegie Mellon University ,Pradeep Ravikumar,ml,94,25.6
Carnegie Mellon University ,Vincent Conitzer,ai,84,33.6
Carnegie Mellon University ,J. Zico Kolter,ml,77,25.3
Carnegie Mellon University ,Takeo Kanade,vision,63,22.4
Carnegie Mellon University ,Yiming Yang,"ml,nlp",59,18.7
Carnegie Mellon University ,Yiming Yang,"ml,nlp",59,18.7
Carnegie Mellon University ,Louis-Philippe Morency,nlp,58,13.3
Carnegie Mellon University ,Tom M. Mitchell,nlp,57,18.1
Carnegie Mellon University ,Srinivasa G. Narasimhan,vision,55,17.6
Carnegie Mellon University ,David P. Woodruff,"ml,theory",53,17.0
Carnegie Mellon University ,David P. Woodruff,"ml,theory",53,17.0
Carnegie Mellon University ,Geoffrey J. Gordon,ml,51,18.4
Carnegie Mellon University ,J. Andrew Bagnell,robotics,42,13.6
Carnegie Mellon University ,Zhiwei Steven Wu,ml,39,10.0
Carnegie Mellon University ,Jun-Yan Zhu,vision,37,7.5
Carnegie Mellon University ,Maria-Florina Balcan,ml,36,11.6
Carnegie Mellon University ,Fei Fang,ai,36,7.9
Carnegie Mellon University ,Yuanzhi Li,ml,33,12.5
Carnegie Mellon University ,Alan W. Black,nlp,31,8.2
Carnegie Mellon University ,Aarti Singh,ml,30,8.9
Carnegie Mellon University ,Shubham Tulsiani,vision,29,7.9
Carnegie Mellon University ,Yonatan Bisk,nlp,28,7.1
Carnegie Mellon University ,Deepak Pathak,ml,28,7.4
Carnegie Mellon University ,Ameet Talwalkar,ml,25,6.6
Carnegie Mellon University ,Katerina Fragkiadaki,vision,24,6.5
Carnegie Mellon University ,Carolyn P. Rosé,nlp,23,7.0
Carnegie Mellon University ,Christos Faloutsos,"web+ir,db",21,5.5
Carnegie Mellon University ,Maarten Sap,nlp,21,3.7
Carnegie Mellon University ,Sivaraman Balakrishnan,ml,18,4.0
Carnegie Mellon University ,Eric Nyberg,nlp,18,5.1
Carnegie Mellon University ,Maxim Likhachev,robotics,17,6.6
Carnegie Mellon University ,Andrej Risteski,ml,16,5.8
Carnegie Mellon University ,Matthew O'Toole,"vision,graphics",15,3.4
Carnegie Mellon University ,Bhiksha Raj,"vision,ml",15,4.2
Carnegie Mellon University ,Bhiksha Raj,"vision,ml",15,4.2
Carnegie Mellon University ,Norman M. Sadeh,"hci,nlp",15,3.5
Carnegie Mellon University ,Daniel Fried,nlp,14,3.8
Carnegie Mellon University ,Virginia Smith,ml,14,3.0
Carnegie Mellon University ,Benjamin Moseley,"theory,ml",13,4.0
Carnegie Mellon University ,Benjamin Moseley,"theory,ml",13,4.0
Carnegie Mellon University ,Benjamin Moseley,"theory,ml",13,4.0
Carnegie Mellon University ,Nihar B. Shah,"ai,ml",12,4.2
Carnegie Mellon University ,Nihar B. Shah,"ai,ml",12,4.2
Carnegie Mellon University ,Anupam Datta,"security,ai",10,2.4
Carnegie Mellon University ,Anupam Datta,"security,ai",10,2.4
Carnegie Mellon University ,Anupam Datta,"security,ai",10,2.4
Carnegie Mellon University ,Matt Fredrikson,"ml,security",10,3.2
Carnegie Mellon University ,Matt Fredrikson,"ml,security",10,3.2
Carnegie Mellon University ,Matt Fredrikson,"ml,security",10,3.2
Carnegie Mellon University ,David Held,robotics,10,2.4
