Rank,University Name,Mean,Faculty
1,Carnegie Mellon University ,106.7,104
2,Tsinghua University ,81.6,96
3,Peking University ,78.0,119
4,Cornell University ,62.3,54
5,Univ. of Illinois at Urbana-Champaign ,58.2,64
6,Chinese Academy of Sciences ,55.0,53
7,Stanford University ,51.1,59
8,National University of Singapore ,48.2,50
9,Massachusetts Institute of Technology ,47.4,70
10,Technion ,46.5,56
11,HKUST ,45.4,39
12,University of Michigan ,43.9,57
13,Nanyang Technological University ,42.9,52
13,University of Washington ,42.9,51
15,Zhejiang University ,42.7,77
16,University of Massachusetts Amherst ,41.5,42
17,Univ. of California - Berkeley ,41.2,64
18,Columbia University ,39.6,42
19,Shanghai Jiao Tong University ,39.5,88
20,University of Maryland - College Park ,39.1,50
21,Univ. of California - San Diego ,38.9,62
22,University of Toronto ,38.3,65
23,KAIST ,36.5,61
24,Nanjing University ,36.1,64
25,University of Pennsylvania ,35.3,48
26,Univ. of California - Los Angeles ,34.9,30
27,Harbin Institute of Technology ,33.1,79
28,ETH Zurich ,32.4,35
29,Chinese University of Hong Kong ,32.0,35
30,Rutgers University ,31.6,34
31,University of Edinburgh ,31.4,56
32,University of Amsterdam ,31.2,24
33,University of Waterloo ,30.8,41
34,Fudan University ,29.5,54
35,Georgia Institute of Technology ,29.4,50
36,MBZUAI ,28.9,21
37,University of Texas at Austin ,28.5,36
38,Renmin University of China ,27.5,42
39,EPFL ,26.9,41
40,New York University ,26.8,48
41,University of Alberta ,26.1,39
42,Hebrew University of Jerusalem ,26.0,29
43,University of Tokyo ,25.9,30
44,Max Planck Society ,25.1,17
45,Northeastern University ,24.8,53
46,University of Southern California ,24.7,33
47,Singapore Management University ,23.7,33
48,Johns Hopkins University ,22.2,18
49,University of Oxford ,22.1,38
50,CUHK (SZ) ,21.6,25
51,Tel Aviv University ,20.8,28
51,University of Sydney ,20.8,26
53,Pennsylvania State University ,20.5,37
54,Seoul National University ,20.0,32
54,University of Illinois at Chicago ,20.0,25
54,University of Pittsburgh ,20.0,18
57,Univ. of California - Santa Cruz ,19.7,33
58,University of Melbourne ,19.5,30
59,Duke University ,19.1,32
